2015-12-31T18:24:05.574+0200 W -        [initandlisten] Detected unclean shutdown - C:\Users\baris\Desktop\swe573\swe573\mongodb\data\mongod.lock is not empty.
2015-12-31T18:32:26.481+0200 I NETWORK  [conn15] end connection 127.0.0.1:60877 (6 connections now open)
2015-12-31T18:32:28.689+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60894 #19 (7 connections now open)
2015-12-31T18:32:28.708+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60895 #20 (8 connections now open)
2015-12-31T18:32:30.349+0200 I NETWORK  [conn20] end connection 127.0.0.1:60895 (7 connections now open)
2015-12-31T18:32:30.350+0200 I NETWORK  [conn19] end connection 127.0.0.1:60894 (6 connections now open)
2015-12-31T18:33:05.624+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:34:05.621+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:35:05.738+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:36:05.641+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:37:05.640+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:38:05.636+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:39:05.626+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:40:05.642+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:41:05.630+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:42:05.633+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:43:05.634+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:44:05.639+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:45:05.640+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:46:05.635+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:47:05.639+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:48:05.641+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:49:05.644+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:50:05.643+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:51:05.645+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:52:05.645+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:53:05.659+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:54:05.682+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:55:05.669+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:56:05.671+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:57:05.671+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:58:05.673+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:59:05.674+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:00:05.675+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:01:05.676+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:02:05.678+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:03:05.677+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:04:05.679+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:05:05.680+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:06:05.681+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:07:05.684+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:08:05.684+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:09:05.688+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:10:05.686+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:11:05.687+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:12:05.685+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:13:05.689+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:14:05.690+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:15:05.691+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:16:05.692+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:17:05.693+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:18:05.694+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:19:05.695+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:20:05.696+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:21:05.698+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:22:05.701+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:23:05.701+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:24:05.701+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:25:05.702+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:26:05.703+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:27:05.704+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:28:05.709+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:29:05.710+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:30:05.711+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:31:05.710+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:32:05.716+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:33:05.715+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:34:05.714+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:35:05.715+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:36:05.721+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:37:05.719+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:38:05.718+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:39:05.719+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:40:05.723+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:41:05.722+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:42:05.721+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:43:05.726+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:44:05.726+0200 I COMMAND  [DataFileSync] flushing diag log
